"GoodStudent","Age","SocioEcon","RiskAversion","VehicleYear","ThisCarDam","RuggedAuto","Accident","MakeModel","DrivQuality","Mileage","Antilock","DrivingSkill","SeniorTrain","ThisCarCost","Theft","CarValue","HomeBase","AntiTheft","PropCost","OtherCarCost","OtherCar","MedCost","Cushioning","Airbag","ILiCost","DrivHist"
"False","Adolescent","Middle","Adventurous","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","True","SubStandard","True","Thousand","False","TwentyThou","City","True","Thousand","Thousand","True","Thousand","Excellent","False","Thousand","One"
"False","Adolescent","Middle","Adventurous","Current","Mild","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","HundredThou","False","TwentyThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Many"
"False","Adolescent","Prole","Adventurous","Older","None","Football","None","Economy","Excellent","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","City","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","One"
"False","Adolescent","Middle","Normal","Current","None","Tank","None","Economy","Normal","FiftyThou","False","Expert","False","TenThou","False","FiveThou","Secure","True","TenThou","Thousand","False","TenThou","Fair","False","Thousand","Zero"
"True","Adolescent","UpperMiddle","Cautious","Older","Mild","Tank","Moderate","Economy","Excellent","Domino","False","SubStandard","False","TenThou","False","TenThou","Secure","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"False","Adolescent","Middle","Cautious","Older","Moderate","Football","None","FamilySedan","Poor","TwentyThou","False","SubStandard","False","TenThou","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Adolescent","Middle","Adventurous","Current","None","Football","None","Luxury","Normal","FiftyThou","True","SubStandard","False","Thousand","False","TenThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"False","Adolescent","Prole","Normal","Current","Mild","Football","Mild","FamilySedan","Poor","TwentyThou","False","Expert","False","TenThou","False","TenThou","Suburb","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","One"
"False","Adolescent","Middle","Cautious","Older","None","Football","None","FamilySedan","Excellent","Domino","False","SubStandard","False","Thousand","False","FiveThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"False","Adolescent","Middle","Normal","Older","Severe","Football","Severe","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","Secure","False","TenThou","Thousand","True","Thousand","Fair","True","Thousand","Many"
"False","Adolescent","UpperMiddle","Normal","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Adolescent","Wealthy","Cautious","Current","Mild","Tank","Moderate","FamilySedan","Excellent","Domino","False","Expert","True","HundredThou","False","TwentyThou","City","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","One"
"False","Adolescent","Prole","Cautious","Older","None","Football","Severe","FamilySedan","Excellent","TwentyThou","True","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"False","Adolescent","Prole","Cautious","Older","Moderate","Tank","None","FamilySedan","Excellent","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","Secure","False","Thousand","Thousand","True","Thousand","Excellent","False","Thousand","Many"
"False","Adolescent","Prole","Cautious","Older","None","Tank","None","FamilySedan","Excellent","TwentyThou","False","SubStandard","False","TenThou","False","TwentyThou","City","False","TenThou","TenThou","False","Thousand","Fair","True","Thousand","Zero"
"False","Adolescent","Middle","Adventurous","Current","None","Football","None","FamilySedan","Poor","Domino","False","SubStandard","False","Thousand","False","FiveThou","Rural","True","HundredThou","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"False","Adolescent","Middle","Normal","Current","None","Football","None","Economy","Poor","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","False","TenThou","Thousand","False","Thousand","Fair","False","Thousand","One"
"False","Adolescent","Middle","Adventurous","Older","Mild","Football","None","FamilySedan","Excellent","TwentyThou","False","Expert","False","TenThou","False","Million","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"False","Adolescent","Middle","Cautious","Older","Severe","Football","None","Luxury","Excellent","TwentyThou","False","SubStandard","True","Thousand","False","TenThou","City","False","Thousand","Thousand","True","TenThou","Excellent","True","Thousand","Zero"
"False","Adolescent","Prole","Normal","Current","Moderate","Tank","None","Economy","Excellent","Domino","False","SubStandard","False","HundredThou","False","TenThou","Rural","True","HundredThou","Thousand","True","Thousand","Poor","True","Thousand","Many"
"False","Adolescent","Prole","Normal","Older","Moderate","Tank","None","Economy","Normal","TwentyThou","False","Normal","False","TenThou","False","TenThou","City","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Many"
"False","Adolescent","Middle","Adventurous","Current","Mild","Football","Severe","FamilySedan","Poor","Domino","False","SubStandard","False","HundredThou","False","FiveThou","Rural","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Adolescent","Prole","Adventurous","Older","None","EggShell","None","FamilySedan","Normal","FiftyThou","False","SubStandard","False","Thousand","False","TwentyThou","City","False","HundredThou","Thousand","False","Thousand","Excellent","False","Thousand","Zero"
"True","Adolescent","Prole","Adventurous","Older","Mild","Football","Moderate","Economy","Excellent","Domino","True","SubStandard","False","Thousand","False","TenThou","Rural","False","Thousand","HundredThou","True","Thousand","Fair","False","Thousand","Many"
"False","Adolescent","Prole","Adventurous","Older","Mild","Football","Moderate","FamilySedan","Excellent","FiveThou","True","Normal","False","TenThou","False","FiftyThou","Rural","True","HundredThou","TenThou","True","Thousand","Poor","True","TenThou","Many"
"False","Adolescent","Middle","Adventurous","Current","None","Football","None","FamilySedan","Poor","Domino","True","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"False","Adolescent","Middle","Adventurous","Older","Severe","Tank","None","SportsCar","Poor","FiftyThou","False","Expert","True","TenThou","False","TwentyThou","City","True","HundredThou","Thousand","True","Thousand","Fair","False","HundredThou","Zero"
"False","Adolescent","Prole","Normal","Older","None","Football","None","Economy","Poor","TwentyThou","False","Normal","False","TenThou","False","TenThou","Suburb","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","One"
"False","Adolescent","UpperMiddle","Cautious","Current","Moderate","EggShell","None","FamilySedan","Poor","FiftyThou","True","Normal","False","Thousand","False","FiveThou","Suburb","True","Thousand","Thousand","False","Thousand","Good","False","Thousand","Zero"
"False","Adolescent","Prole","Adventurous","Older","Mild","EggShell","Severe","SportsCar","Normal","TwentyThou","False","Normal","True","HundredThou","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Excellent","False","Thousand","Many"
"False","Adolescent","Middle","Adventurous","Current","None","Football","None","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TwentyThou","City","True","Thousand","HundredThou","True","Thousand","Fair","True","Thousand","Many"
"False","Adolescent","Middle","Adventurous","Current","None","Football","Moderate","FamilySedan","Poor","TwentyThou","False","SubStandard","False","TenThou","False","FiftyThou","City","False","TenThou","HundredThou","True","Thousand","Poor","False","Thousand","Zero"
"False","Adolescent","Middle","Cautious","Older","Moderate","Tank","Moderate","Economy","Poor","FiveThou","False","SubStandard","False","Thousand","False","FiftyThou","City","False","TenThou","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Adolescent","UpperMiddle","Adventurous","Older","None","Tank","None","FamilySedan","Poor","FiftyThou","False","Normal","False","Thousand","False","TenThou","Suburb","True","Thousand","TenThou","True","Thousand","Fair","False","Thousand","Zero"
"False","Adolescent","Prole","Normal","Older","Severe","Football","None","FamilySedan","Excellent","TwentyThou","True","Normal","False","TenThou","False","FiveThou","Secure","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","One"
"False","Adolescent","Prole","Adventurous","Older","None","EggShell","None","FamilySedan","Excellent","Domino","True","SubStandard","True","TenThou","False","FiveThou","City","True","Thousand","HundredThou","True","Thousand","Excellent","False","Thousand","Zero"
"False","Adolescent","UpperMiddle","Adventurous","Older","Mild","EggShell","None","Luxury","Excellent","Domino","False","Normal","False","TenThou","False","FiveThou","Suburb","True","TenThou","Thousand","True","Thousand","Fair","False","Million","Many"
